,weight_decay,lr,epochs,patience,delta,feature_dim,features,pre_process_layers,post_process_layers,layer_connectivity,hidden_channels,batch_norm,dropout,macro_aggregation,L2_norm,msg_passing_layers,normalize_output,heads,add_self_loops,concat,val_auc,accepted,val_auc_random_features
915,0.001,0.0001,500,10,0.1,64,go2vec,0,1,cat,64,True,0.3,sum,False,4,False,2,False,True,0.951,True,0.821
916,0.001,0.0001,400,10,0.1,64,go2vec,0,1,cat,64,True,0.3,sum,False,4,False,2,False,True,0.949,False,0.794
283,0.001,0.001,400,10,0.1,64,go2vec,0,1,False,64,True,0.5,sum,False,3,False,2,False,True,0.948,True,0.732
737,0.001,0.001,500,10,0.1,16,go2vec,0,2,cat,32,True,0.3,mean,False,4,False,3,False,False,0.947,True,0.568
19,0.001,0.001,400,10,0.1,16,go2vec,1,1,sum,128,False,0.3,mean,False,4,False,2,False,True,0.946,True,0.881
459,0.001,0.001,500,10,0.1,16,go2vec,0,0,cat,16,True,0.0,sum,False,3,False,3,False,False,0.946,True,0.789
739,0.001,0.001,500,10,0.1,16,go2vec,0,2,cat,32,True,0.3,mean,True,4,False,3,False,True,0.946,True,0.674
741,0.001,0.001,500,10,0.1,16,go2vec,2,2,cat,32,True,0.3,mean,True,4,False,3,False,True,0.945,True,0.89
820,0.001,0.01,500,10,0.1,128,go2vec,0,1,cat,128,False,0.3,mean,False,4,False,3,False,True,0.945,True,0.793
284,0.001,0.01,400,10,0.1,64,go2vec,0,1,False,64,True,0.5,sum,False,3,False,2,False,True,0.945,True,0.767
821,0.001,0.01,400,10,0.1,128,go2vec,0,1,cat,128,False,0.3,mean,False,4,False,3,False,True,0.945,True,0.848
914,0.001,0.0001,300,10,0.1,64,go2vec,0,1,cat,64,True,0.3,sum,False,4,False,2,False,True,0.945,True,0.81
738,0.001,0.001,500,10,0.1,16,go2vec,0,2,cat,32,True,0.3,mean,True,4,False,3,False,False,0.944,True,0.63
911,0.001,0.0001,300,10,0.1,128,go2vec,0,1,cat,64,True,0.3,sum,False,4,False,2,False,True,0.944,True,0.792
900,0.001,0.001,400,10,0.1,16,go2vec,0,2,cat,128,False,0.0,sum,False,4,False,1,False,True,0.944,True,0.868
20,0.001,0.001,400,10,0.1,16,go2vec,1,1,sum,128,False,0.5,mean,False,4,False,2,False,True,0.942,True,0.861
819,0.001,0.01,500,10,0.1,16,go2vec,0,1,cat,128,False,0.3,mean,False,4,False,3,False,True,0.942,True,0.853
686,0.001,0.01,500,10,0.1,64,go2vec,1,0,sum,64,False,0.0,sum,False,3,False,1,False,True,0.942,True,0.771
902,0.001,0.001,300,10,0.1,16,go2vec,0,2,cat,128,True,0.0,sum,False,4,False,1,False,True,0.941,True,0.555
319,0.001,0.01,500,10,0.1,32,go2vec,1,1,sum,16,False,0.3,sum,False,3,False,3,False,True,0.941,True,0.735
742,0.001,0.001,500,10,0.1,16,go2vec,2,2,sum,32,True,0.3,mean,True,4,False,3,False,True,0.941,True,0.859
16,0.001,0.01,400,10,0.1,16,go2vec,1,1,sum,16,True,0.3,mean,False,4,False,2,False,True,0.941,True,0.845
687,0.001,0.01,500,10,0.1,64,go2vec,1,0,sum,64,False,0.0,mean,False,3,False,1,False,True,0.94,True,0.811
903,0.001,0.001,300,10,0.1,128,go2vec,0,2,cat,128,True,0.0,sum,False,4,False,1,False,True,0.94,True,0.763
823,0.001,0.01,400,10,0.1,128,go2vec,1,1,cat,128,False,0.3,mean,False,4,False,3,False,True,0.94,True,0.764
11,0.001,0.01,500,10,0.1,32,go2vec,1,1,sum,32,False,0.3,mean,False,4,False,1,False,True,0.94,True,0.737
982,0.001,0.001,400,10,0.1,128,go2vec,0,1,sum,64,False,0.5,mean,False,4,False,2,False,True,0.939,True,0.826
690,0.001,0.01,500,10,0.1,64,go2vec,2,0,sum,64,False,0.0,mean,False,4,False,1,False,True,0.939,True,0.867
287,0.001,0.01,400,10,0.1,64,go2vec,0,1,False,64,True,0.5,mean,False,3,False,1,False,True,0.939,True,0.783
