weight_decay,lr,epochs,patience,delta,feature_dim,pre_process_layers,post_process_layers,layer_connectivity,hidden_channels,batch_norm,dropout,macro_aggregation,L2_norm,msg_passing_layers,normalize_output,aggr,val_auc,accepted
0.001,0.001,400,10,0.1,32,1,1,False,32,False,0.0,mean,True,3,False,sum,0.926,True
0.001,0.001,400,10,0.1,32,1,1,False,32,False,0.0,sum,True,3,False,sum,0.926,True
0.001,0.001,400,10,0.1,32,1,1,False,64,False,0.0,sum,True,3,False,sum,0.927,True
0.001,0.001,400,10,0.1,32,0,1,False,64,False,0.0,sum,True,3,False,sum,0.631,False
0.001,0.01,400,10,0.1,32,1,1,False,64,False,0.0,sum,True,3,False,sum,0.934,True
0.001,0.01,400,10,0.1,32,1,1,False,64,False,0.0,sum,True,2,False,sum,0.928,True
0.001,0.01,400,10,0.1,32,1,1,False,64,False,0.0,sum,False,2,False,sum,0.494,True
0.001,0.01,400,10,0.1,32,1,1,False,64,False,0.0,sum,False,2,False,mean,0.761,True
0.001,0.01,400,10,0.1,32,1,1,False,64,False,0.0,sum,False,2,True,mean,0.755,True
0.001,0.01,400,10,0.1,32,1,1,False,64,False,0.0,sum,False,3,True,mean,0.841,True
0.001,0.01,400,10,0.1,32,1,1,False,128,False,0.0,sum,False,3,True,mean,0.833,True
0.001,0.01,400,10,0.1,32,1,1,False,128,True,0.0,sum,False,3,True,mean,0.57,True
0.001,0.01,400,10,0.1,32,1,1,False,128,True,0.5,sum,False,3,True,mean,0.463,True
0.001,0.01,300,10,0.1,32,1,1,False,128,True,0.5,sum,False,3,True,mean,0.557,True
0.001,0.01,300,10,0.1,16,1,1,False,128,True,0.5,sum,False,3,True,mean,0.568,True
0.001,0.01,300,10,0.1,16,1,1,False,128,True,0.5,sum,False,3,False,mean,0.748,True
0.001,0.001,300,10,0.1,16,1,1,False,128,True,0.5,sum,False,3,False,mean,0.576,True
0.001,0.001,300,10,0.1,16,1,1,False,128,True,0.3,sum,False,3,False,mean,0.609,True
0.001,0.001,300,10,0.1,16,1,1,False,128,True,0.3,mean,False,3,False,mean,0.718,True
0.001,0.001,300,10,0.1,16,1,1,False,128,True,0.0,mean,False,3,False,mean,0.543,False
0.001,0.001,300,10,0.1,16,1,1,False,128,True,0.3,mean,False,3,True,mean,0.736,True
0.001,0.001,300,10,0.1,16,1,1,False,128,True,0.3,sum,False,3,True,mean,0.787,True
0.001,0.001,300,10,0.1,16,1,1,False,128,True,0.3,sum,False,4,True,mean,0.5,True
0.001,0.001,300,10,0.1,16,1,1,False,128,True,0.3,sum,False,4,False,mean,0.744,True
0.001,0.001,300,10,0.1,16,1,1,False,128,True,0.3,sum,False,4,False,max,0.384,False
0.001,0.001,300,10,0.1,128,1,1,False,128,True,0.3,sum,False,4,False,mean,0.695,True
0.001,0.001,300,10,0.1,128,1,1,False,128,True,0.3,sum,False,4,False,max,0.449,False
0.001,0.001,300,10,0.1,128,1,1,False,128,False,0.3,sum,False,4,False,mean,0.884,True
0.001,0.001,300,10,0.1,128,1,1,False,16,False,0.3,sum,False,4,False,mean,0.833,True
0.001,0.001,300,10,0.1,128,1,1,False,16,False,0.0,sum,False,4,False,mean,0.851,True
0.001,0.001,400,10,0.1,128,1,1,False,16,False,0.0,sum,False,4,False,mean,0.681,True
0.001,0.001,400,10,0.1,128,1,1,False,16,False,0.0,sum,False,1,False,mean,0.537,False
0.001,0.001,400,10,0.1,128,1,1,False,16,False,0.0,sum,False,1,False,mean,0.58,False
0.001,0.001,400,10,0.1,128,1,1,False,16,False,0.5,sum,False,4,False,mean,0.821,True
0.001,0.001,400,10,0.1,128,1,1,False,16,False,0.5,sum,False,4,False,sum,0.499,False
0.001,0.001,400,10,0.1,128,2,1,False,16,False,0.5,sum,False,4,False,mean,0.813,True
0.001,0.001,400,10,0.1,128,2,1,sum,16,False,0.5,sum,False,4,False,mean,0.749,True
0.001,0.001,500,10,0.1,128,2,1,sum,16,False,0.5,sum,False,4,False,mean,0.802,True
0.001,0.001,500,10,0.1,128,2,1,sum,16,False,0.0,sum,False,4,False,mean,0.811,True
0.001,0.001,500,10,0.1,128,2,1,cat,16,False,0.0,sum,False,4,False,mean,0.827,True
0.001,0.001,400,10,0.1,128,2,1,cat,16,False,0.0,sum,False,4,False,mean,0.836,True
0.001,0.001,400,10,0.1,128,2,1,cat,16,False,0.0,mean,False,4,False,mean,0.818,True
0.001,0.001,400,10,0.1,128,2,1,cat,16,False,0.0,mean,True,4,False,mean,0.5,True
0.001,0.001,400,10,0.1,128,2,1,cat,16,False,0.0,mean,True,4,False,sum,0.921,True
0.001,0.001,400,10,0.1,128,2,1,cat,16,False,0.0,mean,True,1,False,sum,0.66,True
0.001,0.01,400,10,0.1,128,2,1,cat,16,False,0.0,mean,True,1,False,sum,0.607,True
0.001,0.01,400,10,0.1,128,0,1,cat,16,False,0.0,mean,True,1,False,sum,0.539,True
0.001,0.01,400,10,0.1,128,0,0,cat,16,False,0.0,mean,True,1,False,sum,0.545,True
