weight_decay,lr,epochs,patience,delta,feature_dim,pre_process_layers,post_process_layers,layer_connectivity,hidden_channels,batch_norm,dropout,macro_aggregation,L2_norm,msg_passing_layers,normalize_output,aggr,val_auc,accepted
0.001,0.001,400,10,0.1,32,1,1,False,32,False,0.0,mean,True,3,False,sum,0.928,True
0.001,0.001,400,10,0.1,32,1,1,False,32,False,0.0,sum,True,3,False,sum,0.928,True
0.001,0.001,400,10,0.1,32,1,1,False,32,False,0.0,sum,True,3,False,sum,0.922,True
0.001,0.001,400,10,0.1,32,1,1,False,64,False,0.0,sum,True,3,False,sum,0.926,True
0.001,0.001,400,10,0.1,32,1,1,False,64,False,0.0,sum,True,3,False,sum,0.928,True
0.001,0.001,400,10,0.1,32,1,1,False,64,False,0.0,mean,True,3,False,sum,0.929,True
0.001,0.001,400,10,0.1,32,1,2,False,64,False,0.0,mean,True,3,False,sum,0.918,True
0.001,0.001,400,10,0.1,64,1,2,False,64,False,0.0,mean,True,3,False,sum,0.919,True
0.001,0.001,400,10,0.1,64,1,2,False,32,False,0.0,mean,True,3,False,sum,0.917,True
0.001,0.001,400,10,0.1,32,1,2,False,32,False,0.0,mean,True,3,False,sum,0.92,True
0.001,0.001,400,10,0.1,32,1,2,False,32,False,0.0,mean,True,3,False,sum,0.923,True
0.001,0.001,400,10,0.1,32,1,2,False,32,False,0.0,mean,True,4,False,sum,0.924,True
0.001,0.001,400,10,0.1,32,1,2,False,64,False,0.0,mean,True,4,False,sum,0.916,True
0.001,0.001,400,10,0.1,32,1,2,False,64,True,0.0,mean,True,4,False,sum,0.633,True
0.001,0.001,400,10,0.1,32,1,2,False,64,True,0.5,mean,True,4,False,sum,0.709,True
0.001,0.001,300,10,0.1,32,1,2,False,64,True,0.5,mean,True,4,False,sum,0.794,True
0.001,0.001,300,10,0.1,16,1,2,False,64,True,0.5,mean,True,4,False,sum,0.906,True
0.001,0.001,300,10,0.1,16,1,2,False,64,True,0.5,mean,True,4,True,sum,0.564,True
0.001,0.0001,300,10,0.1,16,1,2,False,64,True,0.5,mean,True,4,True,sum,0.824,True
0.001,0.0001,300,10,0.1,16,1,2,False,64,True,0.5,mean,True,4,True,sum,0.816,True
0.001,0.0001,300,10,0.1,16,1,2,False,64,True,0.5,mean,True,3,True,sum,0.812,True
0.001,0.0001,300,10,0.1,16,1,2,False,64,True,0.5,mean,True,4,True,sum,0.807,True
0.001,0.0001,300,10,0.1,16,1,2,False,64,False,0.5,mean,True,4,True,sum,0.833,True
0.001,0.0001,300,10,0.1,16,0,2,False,64,False,0.5,mean,True,4,True,sum,0.816,True
0.001,0.0001,300,10,0.1,16,0,2,False,64,False,0.5,mean,True,4,True,sum,0.861,True
0.001,0.0001,300,10,0.1,16,0,2,cat,64,False,0.5,mean,True,4,True,sum,0.873,True
0.001,0.0001,300,10,0.1,16,0,2,cat,64,False,0.5,mean,True,4,True,sum,0.861,True
0.001,0.0001,300,10,0.1,16,0,2,cat,64,False,0.5,mean,False,4,True,sum,0.543,True
0.001,0.0001,300,10,0.1,32,0,2,cat,64,False,0.5,mean,False,4,True,sum,0.635,True
0.001,0.0001,300,10,0.1,16,0,2,cat,64,False,0.5,mean,False,4,True,sum,0.59,True
0.001,0.0001,300,10,0.1,16,0,2,cat,64,False,0.5,mean,False,4,True,sum,0.827,True
0.001,0.0001,300,10,0.1,16,0,2,cat,64,False,0.5,mean,False,4,True,sum,0.767,True
0.001,0.0001,300,10,0.1,16,0,2,cat,64,False,0.5,mean,False,4,True,mean,0.632,True
0.001,0.0001,300,10,0.1,16,0,2,cat,64,False,0.5,mean,False,4,True,mean,0.636,True
0.001,0.0001,400,10,0.1,16,0,2,cat,64,False,0.5,mean,False,4,True,mean,0.637,True
0.001,0.0001,400,10,0.1,16,0,2,cat,64,False,0.5,mean,False,4,True,mean,0.643,True
0.001,0.0001,400,10,0.1,16,0,2,cat,64,False,0.5,mean,False,1,True,mean,0.482,False
0.001,0.0001,400,10,0.1,16,0,2,cat,64,False,0.5,mean,False,1,True,mean,0.498,False
0.001,0.0001,400,10,0.1,16,0,2,cat,64,False,0.5,mean,False,4,True,mean,0.631,True
0.001,0.0001,400,10,0.1,16,0,2,False,64,False,0.5,mean,False,4,True,mean,0.646,True
0.001,0.0001,400,10,0.1,16,0,2,False,64,False,0.5,mean,False,4,True,sum,0.452,False
0.001,0.0001,400,10,0.1,16,1,2,False,64,False,0.5,mean,False,4,True,mean,0.648,True
