,weight_decay,lr,epochs,patience,delta,feature_dim,features,pre_process_layers,post_process_layers,layer_connectivity,hidden_channels,batch_norm,dropout,macro_aggregation,L2_norm,msg_passing_layers,normalize_output,aggr,val_auc,accepted,val_auc_with_features
0,0.001,0.001,400,10,0.1,32,random,1,1,False,32,False,0.0,mean,True,3,False,sum,0.926,True,0.928
1,0.001,0.001,400,10,0.1,32,random,1,1,False,32,False,0.0,sum,True,3,False,sum,0.926,True,0.928
2,0.001,0.001,400,10,0.1,32,random,1,1,False,64,False,0.0,sum,True,3,False,sum,0.927,True,0.922
4,0.001,0.01,400,10,0.1,32,random,1,1,False,64,False,0.0,sum,True,3,False,sum,0.934,True,0.929
5,0.001,0.01,400,10,0.1,32,random,1,1,False,64,False,0.0,sum,True,2,False,sum,0.928,True,0.925
7,0.001,0.01,400,10,0.1,32,random,1,1,False,64,False,0.0,sum,False,2,False,mean,0.761,True,0.938
8,0.001,0.01,400,10,0.1,32,random,1,1,False,64,False,0.0,sum,False,2,True,mean,0.755,True,0.896
9,0.001,0.01,400,10,0.1,32,random,1,1,False,64,False,0.0,sum,False,3,True,mean,0.841,True,0.898
10,0.001,0.01,400,10,0.1,32,random,1,1,False,128,False,0.0,sum,False,3,True,mean,0.833,True,0.894
15,0.001,0.01,300,10,0.1,16,random,1,1,False,128,True,0.5,sum,False,3,False,mean,0.748,True,0.641
18,0.001,0.001,300,10,0.1,16,random,1,1,False,128,True,0.3,mean,False,3,False,mean,0.718,True,0.945
20,0.001,0.001,300,10,0.1,16,random,1,1,False,128,True,0.3,mean,False,3,True,mean,0.736,True,0.873
21,0.001,0.001,300,10,0.1,16,random,1,1,False,128,True,0.3,sum,False,3,True,mean,0.787,True,0.879
23,0.001,0.001,300,10,0.1,16,random,1,1,False,128,True,0.3,sum,False,4,False,mean,0.744,True,0.945
27,0.001,0.001,300,10,0.1,128,random,1,1,False,128,False,0.3,sum,False,4,False,mean,0.884,True,0.945
28,0.001,0.001,300,10,0.1,128,random,1,1,False,16,False,0.3,sum,False,4,False,mean,0.833,True,0.878
29,0.001,0.001,300,10,0.1,128,random,1,1,False,16,False,0.0,sum,False,4,False,mean,0.851,True,0.917
33,0.001,0.001,400,10,0.1,128,random,1,1,False,16,False,0.5,sum,False,4,False,mean,0.821,True,0.862
35,0.001,0.001,400,10,0.1,128,random,2,1,False,16,False,0.5,sum,False,4,False,mean,0.813,True,0.864
36,0.001,0.001,400,10,0.1,128,random,2,1,sum,16,False,0.5,sum,False,4,False,mean,0.749,True,0.845
37,0.001,0.001,500,10,0.1,128,random,2,1,sum,16,False,0.5,sum,False,4,False,mean,0.802,True,0.87
38,0.001,0.001,500,10,0.1,128,random,2,1,sum,16,False,0.0,sum,False,4,False,mean,0.811,True,0.907
39,0.001,0.001,500,10,0.1,128,random,2,1,cat,16,False,0.0,sum,False,4,False,mean,0.827,True,0.921
40,0.001,0.001,400,10,0.1,128,random,2,1,cat,16,False,0.0,sum,False,4,False,mean,0.836,True,0.928
41,0.001,0.001,400,10,0.1,128,random,2,1,cat,16,False,0.0,mean,False,4,False,mean,0.818,True,0.918
43,0.001,0.001,400,10,0.1,128,random,2,1,cat,16,False,0.0,mean,True,4,False,sum,0.921,True,0.927
56,0.001,0.001,400,10,0.1,16,random,0,0,cat,128,False,0.5,mean,True,4,True,sum,0.91,True,0.906
57,0.001,0.001,400,10,0.1,16,random,0,1,cat,128,False,0.5,mean,True,4,True,sum,0.782,False,0.896
58,0.001,0.001,400,10,0.1,16,random,0,0,cat,128,False,0.5,sum,True,4,True,sum,0.866,False,0.912
59,0.001,0.001,400,10,0.1,16,random,0,0,cat,128,True,0.5,mean,True,4,True,sum,0.721,True,0.916
64,0.001,0.0001,400,10,0.1,16,random,0,1,cat,128,True,0.3,sum,True,4,True,max,0.888,True,0.901
67,0.001,0.0001,400,10,0.1,16,random,0,1,sum,128,True,0.3,sum,True,4,True,max,0.899,True,0.904
68,0.001,0.0001,500,10,0.1,16,random,0,1,sum,128,True,0.3,sum,True,4,True,max,0.886,True,0.914
69,0.001,0.0001,500,10,0.1,16,random,0,1,sum,128,True,0.3,mean,True,4,True,max,0.868,True,0.911
70,0.001,0.0001,500,10,0.1,16,random,0,1,sum,128,True,0.3,mean,True,4,False,max,0.719,True,0.917
71,0.001,0.0001,500,10,0.1,16,random,0,2,sum,128,True,0.3,mean,True,4,False,max,0.909,True,0.936
72,0.001,0.0001,500,10,0.1,16,random,1,2,sum,128,True,0.3,mean,True,4,False,max,0.909,True,0.931
73,0.001,0.0001,500,10,0.1,16,random,1,2,sum,128,True,0.5,mean,True,4,False,max,0.823,True,0.861
87,0.001,0.0001,300,10,0.1,128,random,1,0,sum,32,False,0.0,mean,True,2,True,mean,0.707,True,0.832
88,0.001,0.0001,300,10,0.1,128,random,1,0,sum,32,False,0.0,mean,False,2,True,mean,0.701,True,0.805
91,0.001,0.0001,300,10,0.1,128,random,1,0,sum,32,False,0.0,mean,False,2,True,sum,0.785,True,0.843
94,0.001,0.0001,300,10,0.1,128,random,0,0,sum,32,False,0.0,mean,True,2,False,sum,0.701,True,0.711
95,0.001,0.0001,300,10,0.1,128,random,1,0,sum,32,False,0.0,mean,True,2,False,sum,0.871,True,0.885
96,0.001,0.0001,500,10,0.1,128,random,1,0,sum,32,False,0.0,mean,True,2,False,sum,0.874,True,0.896
98,0.001,0.01,500,10,0.1,128,random,1,0,sum,32,False,0.0,mean,True,2,False,sum,0.833,True,0.891
99,0.001,0.001,500,10,0.1,128,random,1,0,sum,32,False,0.0,mean,True,2,False,sum,0.738,True,0.909
100,0.001,0.001,500,10,0.1,128,random,1,1,sum,32,False,0.0,mean,True,2,False,sum,0.816,True,0.908
101,0.001,0.001,500,10,0.1,128,random,1,1,sum,32,False,0.0,sum,True,2,False,sum,0.794,True,0.91
102,0.001,0.001,500,10,0.1,128,random,1,1,sum,64,False,0.0,sum,True,2,False,sum,0.885,True,0.913
104,0.001,0.01,500,10,0.1,128,random,1,1,sum,64,False,0.0,sum,True,2,False,sum,0.895,True,0.91
132,0.001,0.001,500,10,0.1,32,random,1,1,sum,16,False,0.5,sum,False,1,False,sum,0.745,True,0.68
174,0.001,0.0001,300,10,0.1,64,random,2,0,cat,128,True,0.3,mean,True,2,False,sum,0.847,True,0.902
175,0.001,0.0001,300,10,0.1,64,random,2,0,cat,64,True,0.3,mean,True,2,False,sum,0.867,True,0.891
176,0.001,0.0001,300,10,0.1,64,random,2,0,cat,32,True,0.3,mean,True,2,False,sum,0.863,True,0.891
177,0.001,0.0001,300,10,0.1,64,random,2,0,cat,32,True,0.3,mean,True,2,False,max,0.816,True,0.857
178,0.001,0.0001,300,10,0.1,64,random,2,0,sum,32,True,0.3,mean,True,2,False,max,0.786,True,0.823
179,0.001,0.0001,300,10,0.1,64,random,2,0,sum,32,True,0.3,mean,True,3,False,max,0.821,True,0.843
180,0.001,0.0001,300,10,0.1,64,random,2,0,cat,32,True,0.3,mean,True,3,False,max,0.843,True,0.856
181,0.001,0.0001,300,10,0.1,64,random,2,2,cat,32,True,0.3,mean,True,3,False,max,0.816,True,0.844
182,0.001,0.0001,300,10,0.1,32,random,2,2,cat,32,True,0.3,mean,True,3,False,max,0.829,True,0.858
183,0.001,0.0001,300,10,0.1,32,random,2,2,cat,32,True,0.3,mean,True,3,True,max,0.824,True,0.83
184,0.001,0.0001,300,10,0.1,32,random,2,1,cat,32,True,0.3,mean,True,3,True,max,0.832,True,0.871
189,0.001,0.0001,400,10,0.1,32,random,2,1,cat,32,True,0.3,mean,False,3,True,max,0.753,True,0.86
190,0.001,0.0001,400,10,0.1,32,random,2,1,cat,32,True,0.3,mean,False,3,True,mean,0.714,False,0.804
192,0.001,0.0001,400,10,0.1,32,random,0,1,cat,32,True,0.3,sum,False,3,True,max,0.828,True,0.889
193,0.001,0.0001,400,10,0.1,32,random,0,0,cat,32,True,0.3,sum,False,3,True,max,0.836,True,0.895
197,0.001,0.0001,300,10,0.1,32,random,1,0,cat,32,True,0.3,sum,True,3,False,max,0.847,True,0.863
198,0.001,0.01,300,10,0.1,32,random,1,0,cat,32,True,0.3,sum,True,3,False,max,0.716,True,0.894
199,0.001,0.001,300,10,0.1,32,random,1,0,cat,32,True,0.3,sum,True,3,False,max,0.759,True,0.885
201,0.001,0.001,300,10,0.1,32,random,1,1,cat,32,True,0.3,mean,True,3,False,max,0.782,True,0.913
203,0.001,0.001,300,10,0.1,32,random,0,1,cat,32,True,0.3,mean,True,3,False,max,0.86,True,0.923
204,0.001,0.01,300,10,0.1,32,random,0,1,cat,32,True,0.3,mean,True,3,False,max,0.883,True,0.931
212,0.001,0.01,300,10,0.1,32,random,0,1,cat,32,False,0.0,mean,False,3,True,max,0.763,True,0.886
213,0.001,0.01,500,10,0.1,32,random,0,1,cat,32,False,0.0,mean,False,3,True,max,0.792,True,0.891
214,0.001,0.01,500,10,0.1,16,random,0,1,cat,32,False,0.0,mean,False,3,True,max,0.723,True,0.895
215,0.001,0.01,500,10,0.1,16,random,0,1,cat,32,False,0.0,mean,False,3,False,max,0.806,True,0.947
216,0.001,0.001,500,10,0.1,16,random,0,1,cat,32,False,0.0,mean,False,3,False,max,0.785,True,0.931
224,0.001,0.001,500,10,0.1,16,random,0,1,cat,32,False,0.5,mean,False,4,False,sum,0.808,True,0.539
