weight_decay,lr,epochs,patience,delta,feature_dim,features,pre_process_layers,post_process_layers,layer_connectivity,hidden_channels,batch_norm,dropout,macro_aggregation,L2_norm,msg_passing_layers,normalize_output,aggr,val_auc,accepted
0.001,0.001,400,10,0.1,32,go2vec,1,1,False,32,False,0.0,mean,True,3,False,sum,0.93,True
0.001,0.001,400,10,0.1,32,go2vec,1,1,False,32,False,0.3,mean,True,3,False,sum,0.926,True
0.001,0.001,400,10,0.1,32,go2vec,1,1,sum,32,False,0.3,mean,True,3,False,sum,0.919,True
0.001,0.001,400,10,0.1,32,random,1,1,sum,32,False,0.3,mean,True,3,False,sum,0.913,True
0.001,0.01,400,10,0.1,32,random,1,1,sum,32,False,0.3,mean,True,3,False,sum,0.924,True
0.001,0.01,400,10,0.1,32,random,1,1,sum,32,False,0.3,mean,False,3,False,sum,0.506,True
0.001,0.01,400,10,0.1,32,random,1,1,sum,32,False,0.3,sum,False,3,False,sum,0.513,True
0.001,0.01,400,10,0.1,32,random,1,1,sum,32,False,0.3,sum,False,3,True,sum,0.881,True
0.001,0.01,400,10,0.1,32,random,1,1,sum,32,False,0.3,sum,False,4,True,sum,0.873,True
0.001,0.01,400,10,0.1,32,random,1,1,sum,32,False,0.3,sum,False,4,True,mean,0.82,True
0.001,0.01,400,10,0.1,32,random,1,1,sum,32,False,0.3,sum,True,4,True,mean,0.804,True
0.001,0.01,400,10,0.1,32,random,1,1,cat,32,False,0.3,sum,True,4,True,mean,0.814,True
0.001,0.01,400,10,0.1,32,random,1,1,cat,16,False,0.3,sum,True,4,True,mean,0.791,True
0.001,0.01,400,10,0.1,32,random,1,1,cat,16,True,0.3,sum,True,4,True,mean,0.463,True
0.001,0.01,300,10,0.1,32,random,1,1,cat,16,True,0.3,sum,True,4,True,mean,0.715,True
0.001,0.01,300,10,0.1,16,random,1,1,cat,16,True,0.3,sum,True,4,True,mean,0.486,True
0.001,0.01,300,10,0.1,16,random,1,1,cat,16,True,0.3,sum,True,4,True,max,0.825,True
0.001,0.01,300,10,0.1,16,random,1,1,cat,128,True,0.3,sum,True,4,True,max,0.724,True
0.001,0.001,300,10,0.1,16,random,1,1,cat,128,True,0.3,sum,True,4,True,max,0.65,True
