weight_decay,lr,epochs,patience,delta,feature_dim,pre_process_layers,post_process_layers,layer_connectivity,hidden_channels,batch_norm,dropout,macro_aggregation,L2_norm,msg_passing_layers,normalize_output,aggr,val_auc,accepted
0.001,0.01,400,10,0.1,32,1,1,False,64,False,0.0,sum,True,3,False,sum,0.934,True
0.001,0.01,400,10,0.1,32,1,1,False,64,False,0.0,sum,True,2,False,sum,0.928,True
0.001,0.001,400,10,0.1,32,1,1,False,64,False,0.0,sum,True,3,False,sum,0.927,True
0.001,0.001,400,10,0.1,32,1,1,False,32,False,0.0,mean,True,3,False,sum,0.926,True
0.001,0.001,400,10,0.1,32,1,1,False,32,False,0.0,sum,True,3,False,sum,0.926,True
0.001,0.001,400,10,0.1,128,2,1,cat,16,False,0.0,mean,True,4,False,sum,0.921,True
0.001,0.001,400,10,0.1,16,0,0,cat,128,False,0.5,mean,True,4,True,sum,0.91,True
0.001,0.0001,500,10,0.1,16,1,2,sum,128,True,0.3,mean,True,4,False,max,0.909,True
0.001,0.0001,500,10,0.1,16,0,2,sum,128,True,0.3,mean,True,4,False,max,0.909,True
0.001,0.0001,400,10,0.1,16,0,1,sum,128,True,0.3,sum,True,4,True,max,0.899,True
0.001,0.01,500,10,0.1,128,1,1,sum,64,False,0.0,sum,True,2,False,sum,0.895,True
0.001,0.01,400,10,0.1,128,1,2,cat,32,False,0.0,mean,False,3,True,sum,0.892,True
0.001,0.0001,400,10,0.1,16,0,1,cat,128,True,0.3,sum,True,4,True,max,0.888,True
0.001,0.0001,500,10,0.1,16,0,1,sum,128,True,0.3,sum,True,4,True,max,0.886,True
0.001,0.001,500,10,0.1,128,1,1,sum,64,False,0.0,sum,True,2,False,sum,0.885,True
0.001,0.001,300,10,0.1,128,1,1,False,128,False,0.3,sum,False,4,False,mean,0.884,True
0.001,0.01,300,10,0.1,128,1,2,cat,32,True,0.0,mean,True,3,False,sum,0.883,True
0.001,0.01,300,10,0.1,32,0,1,cat,32,True,0.3,mean,True,3,False,max,0.883,True
0.001,0.0001,500,10,0.1,128,1,0,sum,32,False,0.0,mean,True,2,False,sum,0.874,True
0.001,0.0001,400,10,0.1,16,1,1,False,128,False,0.0,sum,True,2,False,max,0.872,True
0.001,0.0001,300,10,0.1,128,1,0,sum,32,False,0.0,mean,True,2,False,sum,0.871,True
0.001,0.01,400,10,0.1,128,1,2,cat,32,True,0.0,mean,True,3,False,sum,0.868,True
0.001,0.0001,500,10,0.1,16,0,1,sum,128,True,0.3,mean,True,4,True,max,0.868,True
0.001,0.0001,300,10,0.1,64,2,0,cat,64,True,0.3,mean,True,2,False,sum,0.867,True
0.001,0.001,400,10,0.1,16,0,0,cat,128,False,0.5,sum,True,4,True,sum,0.866,False
0.001,0.0001,400,10,0.1,16,0,1,False,32,False,0.5,sum,True,4,True,sum,0.864,True
0.001,0.0001,300,10,0.1,64,2,0,cat,32,True,0.3,mean,True,2,False,sum,0.863,True
0.001,0.0001,300,10,0.1,128,1,0,cat,32,True,0.0,mean,True,3,False,sum,0.862,True
0.001,0.001,300,10,0.1,32,0,1,cat,32,True,0.3,mean,True,3,False,max,0.86,True
0.001,0.0001,300,10,0.1,16,0,1,False,32,False,0.5,mean,True,4,True,sum,0.857,True
0.001,0.001,300,10,0.1,128,1,1,False,16,False,0.0,sum,False,4,False,mean,0.851,True
0.001,0.0001,300,10,0.1,64,2,0,cat,128,True,0.3,mean,True,2,False,sum,0.847,True
0.001,0.0001,300,10,0.1,32,1,0,cat,32,True,0.3,sum,True,3,False,max,0.847,True
